tax_sp_level,N,N_human_impacted,N_mines,N_impacted_total,AOO_all,AOO_left,nbe_occ_protected_area,AOO_without_impact,AOO_decline,Category_code_CA
Carex castanostachya,13,0,0,0,52,0,12,52,0,LC or NT
Carex chlorosaccua,26,3,0,3,100,12,9,88,12,LC or NT
Carex cognata,5,1,0,1,20,4,1,16,20,LC or NT
Carex conferta,32,12,0,9,108,32,15,76,29.629629629629626,LC or NT
Carex congolensis,2,0,0,0,8,0,0,8,0,LC or NT
Carex cyrtosaccus,2,0,0,0,8,0,1,8,0,LC or NT
Carex echinochloe,43,13,0,12,156,44,11,112,28.205128205128204,LC or NT
Carex elata,1,0,0,0,4,0,0,4,0,LC or NT
Carex elgonensis,14,3,0,2,52,8,6,44,15.384615384615385,LC or NT
Carex erythrorrhiza,1,1,0,1,4,4,0,0,100,CR
Carex johnstonii,24,6,0,6,84,20,13,64,23.809523809523807,LC or NT
Carex koestlinii,2,2,0,2,8,8,0,0,100,CR
Carex leptocladus,2,0,0,0,8,0,2,8,0,LC or NT
Carex lycurus,4,0,0,0,12,0,1,12,0,LC or NT
Carex macrophyllidion,2,0,0,0,8,0,1,8,0,LC or NT
Carex mannii,9,2,0,1,36,4,4,32,11.11111111111111,LC or NT
Carex mildbraediana,1,0,0,0,4,0,1,4,0,LC or NT
Carex modesti,1,0,0,0,4,0,1,4,0,LC or NT
Carex monostachya,12,5,0,4,36,12,5,24,33.33333333333333,VU
Carex negrii,1,1,0,1,4,4,0,0,100,CR
Carex neochevalieri,3,0,0,0,12,0,1,12,0,LC or NT
Carex papillosissima,3,0,0,0,8,0,3,8,0,LC or NT
Carex peregrina,3,1,0,1,8,4,0,4,50,EN
Carex petitiana,42,14,0,13,124,48,10,76,38.70967741935484,VU
Carex preussii,3,0,0,0,8,0,0,8,0,LC or NT
Carex ramosipes,3,0,0,0,12,0,2,12,0,LC or NT
Carex rhodesiaca,1,0,0,0,4,0,1,4,0,LC or NT
Carex runssoroensis,9,1,0,0,36,0,8,36,0,LC or NT
Carex simensis,11,7,0,4,44,16,6,28,36.36363636363637,VU
Carex spicato-paniculata,26,7,0,7,96,28,3,68,29.166666666666668,LC or NT
Carex steudneri,7,6,0,6,28,24,0,4,85.71428571428571,CR
Carex vallis-rosetto,9,1,0,1,36,4,6,32,11.11111111111111,LC or NT
Carex zuluensis,1,0,0,0,4,0,0,4,0,LC or NT
Carinta obvallata,1,1,0,1,4,4,0,0,100,CR
Carissa bispinosa,30,3,0,2,88,8,4,80,9.090909090909092,LC or NT
Carissa macrocarpa,2,0,0,0,8,0,0,8,0,LC or NT
Carissa spinarum,206,68,1,63,736,224,29,512,30.434782608695656,VU
Carissa tetramera,9,0,1,0,24,0,5,24,0,LC or NT
Carpacoce heteromorpha,1,0,0,0,4,0,0,4,0,LC or NT
Carpacoce scabra,2,0,0,0,8,0,0,8,0,LC or NT
Carpha angustissima,10,0,0,0,20,0,9,20,0,LC or NT
Carpha glomerata,1,0,0,0,4,0,0,4,0,LC or NT
Carpha schlechteri,1,0,0,0,4,0,0,4,0,LC or NT
Carphalea glaucescens,44,11,0,9,152,28,12,124,18.421052631578945,LC or NT
Carphalea pubescens,22,8,1,7,84,24,3,60,28.57142857142857,LC or NT
Carphalea somaliensis,1,0,0,0,4,0,0,4,0,LC or NT
Carpobrotus dimidiatus,7,0,0,0,28,0,0,28,0,LC or NT
Carpodiptera africana,14,0,0,0,56,0,5,56,0,LC or NT
Carpolobia alba,281,54,13,53,956,164,40,792,17.154811715481173,LC or NT
Carpolobia gabonica,9,0,0,0,32,0,1,32,0,LC or NT
Carpolobia goetzei,47,0,3,2,172,8,17,164,4.651162790697675,LC or NT
Carpolobia gossweileri,31,8,0,8,84,12,2,72,14.285714285714285,LC or NT
Carpolobia lutea,203,120,5,79,624,264,75,360,42.30769230769231,VU
Carthamus flavescens,1,1,0,1,4,4,0,0,100,CR
Carthamus lanatus,6,6,0,6,24,24,0,0,100,CR
Carvalhoa campanulata,56,0,0,0,204,0,20,204,0,LC or NT
Casearia battiscombei,20,0,0,0,72,0,10,72,0,LC or NT
Casearia congensis,17,3,0,0,36,0,9,36,0,LC or NT
Casearia engleri,16,0,0,0,56,0,9,56,0,LC or NT
Casearia gladiiformis,16,1,0,1,64,4,8,60,6.25,LC or NT
Casearia michelsonii,4,2,0,1,16,4,2,12,25,LC or NT
Casearia prismatocarpa,52,15,4,13,188,48,10,140,25.53191489361702,LC or NT
Casearia stipitata,23,7,1,3,76,12,8,64,15.789473684210526,LC or NT
Cassia abbreviata,86,12,0,12,332,48,14,284,14.457831325301203,LC or NT
Cassia afrofistula,46,0,0,0,176,0,8,176,0,LC or NT
Cassia angolensis,4,0,0,0,16,0,0,16,0,LC or NT
Cassia arereh,4,3,0,3,16,12,0,4,75,EN
Cassia aubrevillei,1,1,0,1,4,4,0,0,100,CR
Cassia burttii,7,2,0,0,24,0,3,24,0,LC or NT
Cassia fikifiki,11,8,1,8,40,28,1,12,70,EN
Cassia mannii,30,4,0,3,108,12,10,96,11.11111111111111,LC or NT
Cassia paralias,2,0,0,0,8,0,0,8,0,LC or NT
Cassia schmitzii,1,0,1,1,4,4,0,0,100,CR
Cassia sieberiana,86,34,4,27,304,108,20,196,35.526315789473685,VU
Cassia thyrsoidea,1,0,0,0,4,0,0,4,0,LC or NT
Cassine peragua,4,0,0,0,16,0,0,16,0,LC or NT
Cassine schinoides,1,1,0,1,4,4,0,0,100,CR
Cassinopsis ilicifolia,3,0,0,0,12,0,0,12,0,LC or NT
Cassinopsis tinifolia,2,0,0,0,8,0,1,8,0,LC or NT
Cassipourea acuminata,2,1,0,0,8,0,1,8,0,LC or NT
Cassipourea adamii,2,1,1,0,8,0,2,8,0,LC or NT
Cassipourea afzelii,33,21,8,26,112,84,5,28,75,EN
Cassipourea alternifolia,2,0,0,0,8,0,1,8,0,LC or NT
Cassipourea barteri,57,17,1,18,200,60,4,140,30,VU
Cassipourea carringtoniana,6,0,0,0,20,0,1,20,0,LC or NT
Cassipourea celastroides,17,2,3,5,64,20,4,44,31.25,VU
Cassipourea congoensis,86,19,2,9,268,36,34,232,13.432835820895523,LC or NT
Cassipourea dinklagei,5,0,2,2,20,8,0,12,40,VU
Cassipourea eketensis,4,0,0,0,16,0,1,16,0,LC or NT
Cassipourea euryoides,36,0,5,3,116,12,5,104,10.344827586206897,LC or NT
Cassipourea evrardii,1,1,0,1,4,4,0,0,100,CR
Cassipourea firestoneana,3,2,0,2,8,4,0,4,50,EN
Cassipourea gossweileri,1,0,0,0,4,0,0,4,0,LC or NT
Cassipourea gummiflua,45,7,7,7,160,28,10,132,17.5,LC or NT
Cassipourea hiotou,8,2,0,2,32,8,3,24,25,LC or NT
Cassipourea le-testui,5,0,0,0,16,0,0,16,0,LC or NT
Cassipourea leptoneura,11,0,0,0,24,0,0,24,0,LC or NT
Cassipourea lescotiana,8,4,3,3,32,12,5,20,37.5,VU
Cassipourea louisii,8,4,0,0,20,0,5,20,0,LC or NT
Cassipourea malosana,66,13,0,12,248,48,29,200,19.35483870967742,LC or NT
Cassipourea mollis,31,10,0,10,112,36,7,76,32.142857142857146,VU
Cassipourea mossambicensis,8,1,0,1,32,4,0,28,12.5,LC or NT
Cassipourea nana,1,0,0,0,4,0,0,4,0,LC or NT
Cassipourea ndambiana,3,0,0,0,12,0,0,12,0,LC or NT
Cassipourea ndando,23,3,0,2,64,8,10,56,12.5,LC or NT
Cassipourea nialatou,22,12,0,12,84,44,1,40,52.38095238095239,EN
Cassipourea obovata,1,0,0,0,4,0,0,4,0,LC or NT
Cassipourea paludosa,5,3,0,3,16,8,0,8,50,EN
Cassipourea plumosa,4,0,0,0,16,0,1,16,0,LC or NT
Cassipourea pumila,2,0,0,0,4,0,0,4,0,LC or NT
Cassipourea rotundifolia,1,0,0,0,4,0,1,4,0,LC or NT
Cassipourea ruwensorensis,43,4,1,5,148,20,11,128,13.513513513513514,LC or NT
Cassipourea schizocalyx,32,7,0,7,108,16,6,92,14.814814814814813,LC or NT
Cassipourea zenkeri,10,4,0,4,24,8,4,16,33.33333333333333,VU
Cassytha ciliolata,15,7,0,7,52,20,0,32,38.46153846153847,VU
Cassytha filiformis,210,43,21,55,776,188,27,588,24.22680412371134,LC or NT
Cassytha graminicola,4,0,0,0,16,0,0,16,0,LC or NT
Cassytha pondoensis,37,2,0,2,140,8,6,132,5.714285714285714,LC or NT
Castalis tragus,1,0,0,0,4,0,0,4,0,LC or NT
Casuarina cunninghamiana,2,2,0,2,8,8,0,0,100,CR
Catalepis gracilis,4,1,0,1,16,4,0,12,25,LC or NT
Catha edulis,39,8,1,9,132,24,5,108,18.181818181818183,LC or NT
Cathormion altissimum,98,30,3,22,320,76,24,244,23.75,LC or NT
Cathormion eriorhachis,2,0,0,0,8,0,0,8,0,LC or NT
Cathormion obliquifoliolatum,29,3,0,1,72,4,3,68,5.555555555555555,LC or NT
Cathormion rhombifolium,7,2,0,2,28,8,0,20,28.57142857142857,LC or NT
Catophractes alexandri,19,1,1,2,72,8,3,64,11.11111111111111,LC or NT
Catunaregam nilotica,23,6,1,5,88,20,7,68,22.727272727272727,LC or NT
Catunaregam obovata,30,1,0,0,108,0,1,108,0,LC or NT
Catunaregam pentandra,1,0,0,0,4,0,0,4,0,LC or NT
Catunaregam spinosa,25,0,0,0,96,0,7,96,0,LC or NT
Catunaregam stenocarpa,4,0,0,0,16,0,0,16,0,LC or NT
Catunaregam swynnertonii,10,0,0,0,36,0,0,36,0,LC or NT
Catunaregam taylorii,56,7,0,6,212,20,16,192,9.433962264150944,LC or NT
Caucanthus albidus,8,1,0,1,28,4,0,24,14.285714285714285,LC or NT
Caucanthus auriculatus,30,15,0,14,116,56,2,60,48.275862068965516,VU
Caucanthus edulis,5,0,0,0,20,0,0,20,0,LC or NT
Caulipsolon rapaceum,1,0,0,0,4,0,0,4,0,LC or NT
Cavacoa aurea,20,0,7,6,68,12,8,56,17.647058823529413,LC or NT
Cavacoa baldwinii,12,11,5,11,40,36,0,4,90,CR
Cavacoa quintasii,35,13,0,1,84,4,19,80,4.761904761904762,LC or NT
Cayaponia africana,17,8,1,6,64,24,5,40,37.5,VU
Caylusea abyssinica,31,18,1,18,112,60,2,52,53.57142857142857,EN
Caylusea hexagyna,1,0,0,0,4,0,0,4,0,LC or NT
Cayratia debilis,46,12,1,10,152,24,8,128,15.789473684210526,LC or NT
Cayratia delicatula,2,0,0,0,8,0,0,8,0,LC or NT
Cayratia gracilis,96,21,2,21,360,80,27,280,22.22222222222222,LC or NT
Cayratia ibuensis,23,4,1,4,92,16,5,76,17.391304347826086,LC or NT
Ceiba pentandra,308,74,6,55,1076,204,53,872,18.95910780669145,LC or NT
Celosia anthelminthica,6,1,1,2,24,8,1,16,33.33333333333333,VU
Celosia argentea,78,33,4,32,284,108,5,176,38.028169014084504,VU
Celosia bonnivairii,3,1,1,1,12,4,0,8,33.33333333333333,VU
Celosia elegantissima,26,5,0,5,68,16,10,52,23.52941176470588,LC or NT
Celosia fadenorum,2,0,0,0,8,0,0,8,0,LC or NT
Celosia globosa,34,9,2,8,120,32,15,88,26.666666666666668,LC or NT
Celosia hastata,15,1,3,4,60,16,2,44,26.666666666666668,LC or NT
Celosia leptostachya,39,11,0,6,140,24,13,116,17.142857142857142,LC or NT
Celosia loandensis,2,0,0,0,8,0,0,8,0,LC or NT
Celosia nervosa,1,0,0,0,4,0,0,4,0,LC or NT
Celosia patentiloba,1,0,0,0,4,0,0,4,0,LC or NT
Celosia polystachia,11,4,0,2,44,8,2,36,18.181818181818183,LC or NT
Celosia pseudovirgata,21,0,0,0,60,0,2,60,0,LC or NT
Celosia schweinfurthiana,37,10,0,8,144,32,14,112,22.22222222222222,LC or NT
Celosia trigyna,262,83,8,75,940,272,39,668,28.936170212765955,LC or NT
Celosia vanderystii,3,0,0,0,12,0,1,12,0,LC or NT
Celsia micrantha,3,3,0,3,12,12,0,0,100,CR
Celtis adolfi-friderici,64,19,9,10,212,40,26,172,18.867924528301888,LC or NT
Celtis africana,175,46,6,51,620,184,23,436,29.677419354838708,LC or NT
Celtis australis,3,3,0,3,12,12,0,0,100,CR
Celtis gomphophylla,98,10,1,9,308,36,36,272,11.688311688311687,LC or NT
Celtis mildbraedii,107,42,9,24,244,64,47,180,26.229508196721312,LC or NT
Celtis philippensis,22,1,0,1,76,4,3,72,5.263157894736842,LC or NT
Celtis prantlii,138,42,3,30,472,104,30,368,22.033898305084744,LC or NT
Celtis rhamnifolia,1,1,0,1,4,4,0,0,100,CR
Celtis soyauxii,143,58,3,41,388,144,46,244,37.11340206185567,VU
Celtis stolzii,1,0,0,0,4,0,0,4,0,LC or NT
Celtis tessmannii,134,19,2,14,420,56,36,364,13.333333333333334,LC or NT
Celtis toka,97,49,2,43,364,160,15,204,43.956043956043956,VU
Celtis wightii,8,2,0,0,28,0,5,28,0,LC or NT
Celtis zenkeri,121,31,2,23,408,72,33,336,17.647058823529413,LC or NT
Cenchrus biflorus,38,15,1,13,152,52,4,100,34.21052631578947,VU
Cenchrus ciliaris,106,NA,2,33,368,120,12,248,32.608695652173914,VU
Cenchrus foermeranus,1,0,0,0,4,0,0,4,0,LC or NT
Cenchrus massaicus,1,0,0,0,4,0,0,4,0,LC or NT
Cenchrus mitis,1,0,0,0,4,0,0,4,0,LC or NT
Cenchrus pennisetiformis,2,0,0,0,8,0,0,8,0,LC or NT
Cenchrus prieurii,4,0,0,0,16,0,0,16,0,LC or NT
Cenchrus setaceus,9,4,0,4,32,16,0,16,50,EN
Cenchrus setigerus,10,0,0,0,40,0,3,40,0,LC or NT
Cenia turbinata,1,1,0,1,4,4,0,0,100,CR
Centaurea melitensis,1,1,0,1,4,4,0,0,100,CR
Centaurea nigerica,9,5,1,5,28,20,0,8,71.42857142857143,EN
Centaurea perrottetii,9,7,1,8,36,32,0,4,88.88888888888889,CR
Centaurea praecox,36,6,0,5,132,20,9,112,15.151515151515152,LC or NT
Centaurea pungens,1,0,0,0,4,0,0,4,0,LC or NT
Centaurea senegalensis,5,2,0,2,20,8,0,12,40,VU
Centaurium pulchellum,4,4,0,4,16,16,0,0,100,CR
Centella fusca,1,0,0,0,4,0,0,4,0,LC or NT
Centella virgata,1,0,0,0,4,0,0,4,0,LC or NT
Centema subfusca,1,0,0,0,4,0,0,4,0,LC or NT
Centemopsis conferta,8,4,0,3,32,12,1,20,37.5,VU
Centemopsis fastigiata,13,3,0,3,52,12,1,40,23.076923076923077,LC or NT
Centemopsis filiformis,4,1,0,0,16,0,1,16,0,LC or NT
Centemopsis gracilenta,17,4,0,4,60,16,0,44,26.666666666666668,LC or NT
Centemopsis kirkii,17,6,0,5,64,12,3,52,18.75,LC or NT
Centemopsis trinervis,1,0,0,0,4,0,0,4,0,LC or NT
Centotheca lappacea,148,48,4,27,504,100,47,404,19.841269841269842,LC or NT
Centroplacus glaucinus,170,23,1,24,480,32,41,448,6.666666666666667,LC or NT
Centropodia forskalii,1,0,0,0,4,0,0,4,0,LC or NT
Centropodia fragilis,1,0,0,0,4,0,0,4,0,LC or NT
Centrosema plumieri,14,5,0,3,52,12,2,40,23.076923076923077,LC or NT
Centrosema pubescens,116,51,2,43,380,144,18,236,37.89473684210527,VU
Centrostachys aquatica,25,14,0,13,92,52,2,40,56.52173913043478,EN
Centrostigma clavatum,1,0,0,0,4,0,0,4,0,LC or NT
Centrostigma occultans,4,0,1,1,12,4,2,8,33.33333333333333,VU
Cephalanthus natalensis,10,0,0,0,40,0,2,40,0,LC or NT
Cephalaria alpina,2,1,0,1,8,4,0,4,50,EN
Cephalaria humilis,1,1,0,1,4,4,0,0,100,CR
Cephalaria integrifolia,2,0,0,0,8,0,0,8,0,LC or NT
Cephalaria katangensis,3,1,0,1,12,4,1,8,33.33333333333333,VU
Cephalaria leucantha,2,0,0,0,8,0,0,8,0,LC or NT
Cephalaria petiolata,1,0,0,0,4,0,0,4,0,LC or NT
Cephalaria pungens,11,3,0,3,44,12,2,32,27.27272727272727,LC or NT
Cephalocroton cordofanus,13,1,1,2,52,8,0,44,15.384615384615385,LC or NT
Cephalocroton incanus,2,0,0,0,8,0,0,8,0,LC or NT
Cephalocroton mollis,8,0,0,0,32,0,0,32,0,LC or NT
Cephalopentandra ecirrhosa,1,0,0,0,4,0,0,4,0,LC or NT
Cephalophis leonardii,1,0,0,0,4,0,0,4,0,LC or NT
Cephalophis lukei,2,0,1,0,8,0,2,8,0,LC or NT
Cephalophyllum compressum,1,0,0,0,4,0,1,4,0,LC or NT
Cephalosphaera usambarensis,20,0,0,0,60,0,12,60,0,LC or NT
Ceraria kaokoensis,4,0,0,0,12,0,6,12,0,LC or NT
Ceraria kuneneana,1,0,0,0,4,0,0,4,0,LC or NT
Ceraria namaquensis,1,0,0,0,4,0,0,4,0,LC or NT
Cerastium afromontanum,24,9,0,6,84,20,14,64,23.809523809523807,LC or NT
Cerastium arabidis,2,1,0,1,8,4,0,4,50,EN
Cerastium capense,2,1,0,1,8,4,0,4,50,EN
Cerastium indicum,32,11,0,11,112,44,12,68,39.285714285714285,VU
Cerastium octandrum,55,27,0,25,180,88,13,92,48.888888888888886,VU
Ceratandra atrata,1,1,0,1,4,4,0,0,100,CR
Ceratandra bicolor,2,0,0,0,8,0,0,8,0,LC or NT
Ceratochloa cathartica,1,1,0,1,4,4,0,0,100,CR
Ceratophyllum demersum,45,12,0,12,172,48,2,124,27.906976744186046,LC or NT
Ceratophyllum submersum,4,1,0,1,16,4,0,12,25,LC or NT
Ceratopteris thalictroides,79,26,3,25,276,88,6,188,31.88405797101449,VU
Ceratostigma abyssinicum,11,11,0,11,44,44,0,0,100,CR
Ceratotheca integribracteata,3,1,0,1,12,4,0,8,33.33333333333333,VU
Ceratotheca sesamoides,84,34,0,31,320,112,9,208,35,VU
Ceratotheca triloba,10,4,0,4,40,16,0,24,40,VU
Cercestis afzelii,99,79,7,49,276,164,37,112,59.42028985507246,EN
Cercestis camerunensis,19,0,0,0,56,0,6,56,0,LC or NT
Cercestis congensis,38,12,0,5,112,20,12,92,17.857142857142858,LC or NT
Cercestis dinklagei,158,53,5,26,440,92,72,348,20.909090909090907,LC or NT
Cercestis hepperi,13,8,0,7,40,20,1,20,50,EN
Cercestis ivorensis,34,18,1,18,108,60,8,48,55.55555555555556,EN
Cercestis kamerunianus,19,2,0,1,64,4,8,60,6.25,LC or NT
Cercestis mirabilis,69,12,1,10,224,24,10,200,10.714285714285714,LC or NT
Cercestis sagittatus,4,2,0,2,16,8,0,8,50,EN
Cercestis taiensis,11,1,0,1,40,4,1,36,10,LC or NT
Ceriops tagal,19,0,0,0,60,0,0,60,0,LC or NT
Ceropegia abyssinica,7,2,0,2,28,8,1,20,28.57142857142857,LC or NT
Ceropegia achtenii,5,0,0,0,16,0,0,16,0,LC or NT
Ceropegia affinis,1,1,0,1,4,4,0,0,100,CR
Ceropegia albisepta,1,0,0,0,4,0,0,4,0,LC or NT
Ceropegia aristolochioides,9,3,1,4,36,16,0,20,44.44444444444444,VU
Ceropegia ballyana,1,0,1,1,4,4,0,0,100,CR
Ceropegia bonafouxii,1,0,0,0,4,0,0,4,0,LC or NT
Ceropegia burgeri,1,0,0,0,4,0,0,4,0,LC or NT
Ceropegia campanulata,7,4,1,3,28,12,1,16,42.857142857142854,VU
Ceropegia carnosa,2,0,0,0,8,0,0,8,0,LC or NT
Ceropegia claviloba,6,2,0,1,24,4,3,20,16.666666666666664,LC or NT
Ceropegia cufodontii,3,1,0,1,12,4,0,8,33.33333333333333,VU
Ceropegia deightonii,9,3,0,1,32,4,7,28,12.5,LC or NT
Ceropegia distincta,11,1,1,2,36,8,1,28,22.22222222222222,LC or NT
Ceropegia filipendula,2,0,0,0,8,0,0,8,0,LC or NT
Ceropegia floribunda,1,0,0,0,4,0,0,4,0,LC or NT
Ceropegia fusiformis,15,5,0,3,56,12,3,44,21.428571428571427,LC or NT
Ceropegia gemmifera,2,1,0,1,8,4,0,4,50,EN
Ceropegia gilgiana,1,0,0,0,4,0,0,4,0,LC or NT
Ceropegia illegitima,1,1,0,1,4,4,0,0,100,CR
Ceropegia inflata,1,1,0,1,4,4,0,0,100,CR
Ceropegia inornata,16,0,9,5,40,12,4,28,30,VU
Ceropegia intracolor,1,0,0,0,4,0,0,4,0,LC or NT
Ceropegia johnsonii,6,1,0,1,20,4,1,16,20,LC or NT
Ceropegia konasita,2,0,2,2,8,8,0,0,100,CR
Ceropegia kundelunguensis,2,0,0,0,8,0,2,8,0,LC or NT
Ceropegia ledermannii,5,2,0,2,20,8,1,12,40,VU
Ceropegia leptophylla,1,0,0,0,4,0,0,4,0,LC or NT
Ceropegia lindenii,1,0,0,0,4,0,0,4,0,LC or NT
Ceropegia linophyllum,3,2,0,2,12,8,0,4,66.66666666666666,EN
Ceropegia lugardae,1,0,0,0,4,0,0,4,0,LC or NT
Ceropegia madens,1,0,0,0,4,0,0,4,0,LC or NT
Ceropegia mairei,1,0,0,0,4,0,0,4,0,LC or NT
Ceropegia manderensis,1,0,0,0,4,0,0,4,0,LC or NT
Ceropegia meyeri-johannis,13,0,0,0,52,0,5,52,0,LC or NT
Ceropegia microgaster,1,1,0,1,4,4,0,0,100,CR
Ceropegia muzingana,5,0,0,0,8,0,1,8,0,LC or NT
Ceropegia namuliensis,1,0,0,0,4,0,0,4,0,LC or NT
Ceropegia nigra,7,2,1,2,28,8,2,20,28.57142857142857,LC or NT
Ceropegia nilotica,8,2,1,3,32,12,2,20,37.5,VU
Ceropegia papillata,10,0,0,0,40,0,2,40,0,LC or NT
Ceropegia peulhorum,5,0,0,0,20,0,0,20,0,LC or NT
Ceropegia porphyrotricha,4,0,0,0,16,0,0,16,0,LC or NT
Ceropegia purpurascens,9,0,0,0,32,0,1,32,0,LC or NT
Ceropegia racemosa,34,15,3,14,136,56,5,80,41.17647058823529,VU
Ceropegia recurvata,1,0,0,0,4,0,0,4,0,LC or NT
Ceropegia rhynchantha,11,5,1,3,44,12,4,32,27.27272727272727,LC or NT
Ceropegia ringoetii,3,0,1,1,12,4,1,8,33.33333333333333,VU
Ceropegia sandersonii,1,1,0,1,4,4,0,0,100,CR
Ceropegia sankuruensis,9,3,1,3,28,12,3,16,42.857142857142854,VU
Ceropegia sobolifera,1,1,0,1,4,4,0,0,100,CR
Ceropegia somalensis,3,0,0,0,8,0,0,8,0,LC or NT
Ceropegia stenantha,10,1,0,1,40,4,3,36,10,LC or NT
Ceropegia stenoloba,1,0,0,0,4,0,2,4,0,LC or NT
Ceropegia succulenta,1,0,0,0,4,0,1,4,0,LC or NT
Ceropegia talbotii,1,1,1,1,4,4,0,0,100,CR
Ceropegia umbraticola,6,1,1,2,24,8,0,16,33.33333333333333,VU
Ceropegia vanderystii,13,0,0,0,44,0,0,44,0,LC or NT
Ceropegia verticillata,2,0,0,0,8,0,0,8,0,LC or NT
Ceropegia yorubana,1,1,0,1,4,4,0,0,100,CR
Ceruana pratensis,4,2,0,1,16,4,1,12,25,LC or NT
Chaetacanthus setiger,1,0,0,0,4,0,0,4,0,LC or NT
Chaetachme aristata,78,31,0,23,276,80,19,196,28.985507246376812,LC or NT
Chaetobromus involucratus,2,0,0,0,8,0,0,8,0,LC or NT
Chaetocarpus africanus,61,5,3,8,172,20,11,152,11.627906976744185,LC or NT
Chaetocarpus gabonensis,10,0,0,0,32,0,1,32,0,LC or NT
Chaetolepis gentianoides,3,0,0,0,12,0,0,12,0,LC or NT
Chaetopoa pilosa,2,0,0,0,8,0,0,8,0,LC or NT
Chamaeangis gabonensis,12,1,0,1,32,4,0,28,12.5,LC or NT
Chamaeangis ichneumonea,40,4,0,4,124,12,8,112,9.67741935483871,LC or NT
Chamaeangis lanceolata,3,0,0,0,12,0,0,12,0,LC or NT
Chamaeangis lecomtei,17,6,0,6,48,20,1,28,41.66666666666667,VU
Chamaeangis letouzeyi,3,0,0,0,8,0,0,8,0,LC or NT
Chamaeangis odoratissima,52,14,2,13,180,48,11,132,26.666666666666668,LC or NT
Chamaeangis pauciflora,1,1,0,1,4,4,0,0,100,CR
Chamaeangis sarcophylla,20,3,0,2,68,4,9,64,5.88235294117647,LC or NT
Chamaeangis spiralis,12,0,0,0,24,0,8,24,0,LC or NT
Chamaeangis thomensis,5,0,0,0,16,0,3,16,0,LC or NT
Chamaeangis vagans,5,0,0,0,8,0,1,8,0,LC or NT
Chamaeangis vesicata,68,10,1,11,220,36,4,184,16.363636363636363,LC or NT
Chamaeclitandra henriquesiana,2,1,0,1,8,4,0,4,50,EN
Chamaecrista absus,124,30,0,27,464,100,19,364,21.551724137931032,LC or NT
Chamaecrista africana,1,0,0,0,4,0,0,4,0,LC or NT
Chamaecrista biensis,5,0,0,0,20,0,0,20,0,LC or NT
Chamaecrista capensis,1,0,0,0,4,0,0,4,0,LC or NT
Chamaecrista comosa,10,2,0,2,40,8,2,32,20,LC or NT
Chamaecrista dimidiata,1,0,0,0,4,0,0,4,0,LC or NT
Chamaecrista duboisii,1,0,0,0,4,0,0,4,0,LC or NT
Chamaecrista dunensis,1,0,0,0,4,0,0,4,0,LC or NT
Chamaecrista exilis,13,0,0,0,36,0,0,36,0,LC or NT
Chamaecrista falcinella,15,7,0,7,56,28,2,28,50,EN
Chamaecrista fallacina,4,1,0,1,16,4,0,12,25,LC or NT
Chamaecrista fenarolii,9,1,1,2,32,8,0,24,25,LC or NT
Chamaecrista gracilior,6,1,0,1,24,4,0,20,16.666666666666664,LC or NT
Chamaecrista grantii,8,1,0,1,24,4,0,20,16.666666666666664,LC or NT
Chamaecrista hildebrandtii,6,3,0,3,20,12,0,8,60,EN
Chamaecrista jaegeri,5,2,0,2,20,8,0,12,40,VU
Chamaecrista kalulensis,1,0,0,0,4,0,0,4,0,LC or NT
Chamaecrista katangensis,14,5,3,8,44,20,0,24,45.45454545454545,VU
Chamaecrista kirkii,143,26,5,20,516,80,29,436,15.503875968992247,LC or NT
Chamaecrista meelii,1,0,0,0,4,0,0,4,0,LC or NT
Chamaecrista mimosoides,509,130,22,122,1796,456,83,1340,25.389755011135858,LC or NT
Chamaecrista mwangokae,5,0,0,0,12,0,2,12,0,LC or NT
Chamaecrista nigricans,40,18,2,17,156,68,6,88,43.58974358974359,VU
Chamaecrista parva,20,2,0,1,76,4,9,72,5.263157894736842,LC or NT
Chamaecrista plumosa,2,0,0,0,8,0,0,8,0,LC or NT
Chamaecrista polytricha,7,0,0,0,28,0,2,28,0,LC or NT
Chamaecrista puccioniana,1,0,0,0,4,0,0,4,0,LC or NT
Chamaecrista robynsiana,7,0,1,1,20,4,0,16,20,LC or NT
Chamaecrista stricta,26,7,1,8,84,28,5,56,33.33333333333333,VU
Chamaecrista usambarensis,4,4,0,3,16,12,1,4,75,EN
Chamaecrista wittei,14,1,0,1,48,4,4,44,8.333333333333332,LC or NT
Chamaecrista zambesica,4,0,0,0,16,0,0,16,0,LC or NT
Chamaepentas graniticola,6,0,0,0,16,0,0,16,0,LC or NT
Chamaepentas greenwayi,1,0,1,1,4,4,0,0,100,CR
Chamaepentas hindsioides,48,0,1,1,120,4,16,116,3.3333333333333335,LC or NT
Chamaepentas nobilis,16,1,1,1,60,4,2,56,6.666666666666667,LC or NT
Chamaerops humilis,25,11,0,10,80,40,3,40,50,EN
Chamaesyce schlechteri,3,0,0,0,12,0,0,12,0,LC or NT
Chamarea capensis,3,0,0,0,8,0,0,8,0,LC or NT
Chapmannia somalensis,1,0,0,0,4,0,0,4,0,LC or NT
Charybdis maritima,1,1,0,1,4,4,0,0,100,CR
Chascanum cernuum,1,0,0,0,4,0,0,4,0,LC or NT
Chascanum elburense,1,0,0,0,4,0,0,4,0,LC or NT
Chascanum garipense,5,0,0,0,20,0,1,20,0,LC or NT
